rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
105,NCH (126),105,126,yes,yes,Vilius Gaubas,21,LTU,LTU,558,+21,+68,Rio de Janeiro R16 (R32 )**Qual. Rio de Janeiro W****Qual. Rio de Janeiro W** Rio de Janeiro R16 (R32 )608 1008,,,yes
106,42,42,,no,no,Benjamin Bonzi,29,FRA,FRA,556,+6,+8,Lille R16 564 673,,,yes
107,95,95,,no,no,Tristan Schoolkate,24,AUS,AUS,556,,+1,,Lost in Qual. Delray Beach R2,,no
108,67,67,,no,no,Luca Nardi,22,ITA,ITA,554,-14,-75,,,,no
109,63,63,,no,no,Mattia Bellucci,24,ITA,ITA,553,,,,Lost in Delray Beach R32,,no
110,108,108,,no,no,Francesco Maestrelli,23,ITA,ITA,553,,,,,,no
111,93,93,,no,no,Tomás Barrios Vera,28,CHI,CHI,551,-4,-12,,Lost in Qual. Rio de Janeiro R2 Lost in Rio de Janeiro R32,,no
112,26,26,,no,no,Jordan Thompson,31,AUS,AUS,548,,-1,,,,no
113,NCH (118),113,118,yes,yes,Rafael Jódar,19,ESP,ESP,548,+5,+25,Delray Beach R16 573 773,,,yes
114,62,62,,no,no,Rinky Hijikata,24,AUS,AUS,547,-1,+1,**Qual. Delray Beach W**,Lost in Delray Beach R32,,yes
115,23,23,,no,no,Dušan Lajović,35,SRB,SRB,541,+14,+56,Rio de Janeiro R16 (R32 ),Lost in Qual. Rio de Janeiro R2 Lost in Qual. Rio de Janeiro R2 Rio de Janeiro R16 (R32 )591 991,,yes
116,92,92,,no,no,Shintaro Mochizuki,22,JPN,JPN,538,+1,+13,,Lost in Qual. Doha R2 Lost in Doha R32,,no
117,27,27,,no,no,Laslo Djere,30,SRB,SRB,538,,-3,,,,no
118,37,37,,no,no,Mackenzie McDonald,30,USA,USA,535,,-2,,Lost in Delray Beach R32,,no
119,115,115,,no,no,Dino Prižmić,20,CRO,CRO,529,+3,+22,**Qual. Rio de Janeiro W**,Lost in Rio de Janeiro R32,,yes
120,NCH (123),120,123,yes,yes,Jan Choinski,29,GBR,GBR,523,+4,+25,**Qual. Doha W**,Lost in Doha R32,,yes
121,120,120,,no,no,Titouan Droguet,24,FRA,FRA,520,-1,+10,Lille QF 539 629,,,yes
122,86,86,,no,no,Dalibor Svrčina,23,CZE,CZE,519,-23,-93,,Lost in Qual. Delray Beach R2,,no
123,10,10,,no,no,Pablo Carreño Busta,34,ESP,ESP,516,,+12,**Qual. Doha W**,Lost in Doha R32,,yes
124,NCH (128),124,128,yes,yes,Coleman Wong,21,HKG,HKG,515,+13,+57,Delray Beach QF**Qual. Delray Beach W****Qual. Delray Beach W** Delray Beach QF 565 715,,,yes
125,7,7,,no,no,David Goffin,35,BEL,BEL,515,,-6,,Lost in Lille R32,,no
126,102,102,,no,no,Elmer Møller,22,DEN,DEN,509,,-5,,Lost in Qual. Rio de Janeiro R1,,no
127,125,125,,no,no,Martin Damm,22,USA,USA,492,,-2,,,,no
128,12,12,,no,no,Borna Ćorić,29,CRO,CRO,488,,-1,,,,no
129,63,63,,no,no,Luca Van Assche,21,FRA,FRA,487,+1,+10,Lille QF 506 596,,,yes
130,NCH (135),130,135,yes,yes,Sho Shimabukuro,28,JPN,JPN,479,+5,+13,**Qual. Delray Beach W**,Lost in Delray Beach R32,,yes
131,91,91,,no,no,Otto Virtanen,24,FIN,FIN,475,-3,-13,,,,no
132,37,37,,no,no,Sebastian Ofner,29,AUT,AUT,471,,,,Lost in Lille R32,,no
133,NCH (134),133,134,yes,yes,Dane Sweeny,25,AUS,AUS,468,,+1,,Lost in New Delhi R32,,no
134,112,112,,no,no,Marco Trungelliti,36,ARG,ARG,465,-3,-7,,Lost in Qual. Doha R1,,no
135,16,16,,no,no,Nikoloz Basilashvili,33,GEO,GEO,464,,+1,,Lost in Qual. Doha R1,,no
136,NCH (138),136,138,yes,yes,Jack Pinnington Jones,22,GBR,GBR,456,,+2,,,,no
137,126,126,,no,no,Andrea Pellegrino,28,ITA,ITA,447,,+3,,Lost in Qual. Rio de Janeiro R1,,no
138,133,133,,no,no,Colton Smith,22,USA,USA,446,,+3,,Lost in Qual. Delray Beach R1,,no
139,138,138,,no,no,Chris Rodesch,24,LUX,LUX,446,,+3,,Lost in Qual. Lille R1,,no
140,101,101,,no,no,Billy Harris,31,GBR,GBR,437,+4,-1,,Lost in Qual. Doha R2,,no
141,134,134,,no,no,Moez Echargui,33,TUN,TUN,435,-2,-14,,Lost in Doha R32,,no
142,54,54,,no,no,Yibing Wu,26,CHN,CHN,434,+4,+7,,Lost in Qual. Delray Beach R2,,no
143,NCH (145),143,145,yes,yes,Daniel Mérida,21,ESP,ESP,432,,+2,,,,no
144,89,89,,no,no,Francesco Passaro,25,ITA,ITA,431,+19,+55,,Lost in Qual. Rio de Janeiro R2 Lost in Rio de Janeiro R16,,no
145,64,64,,no,no,Yunchaokete Bu,24,CHN,CHN,424,,+3,,,,no
146,113,113,,no,no,Liam Draxl,24,CAN,CAN,417,+3,-5,,Lost in Qual. Delray Beach R1,,no
147,83,83,,no,no,Chun Hsin Tseng,24,TWN,TWN,414,-32,-122,,Lost in Qual. Rio de Janeiro R1,,no
148,CH,148,,yes,no,Michael Zheng,22,USA,USA,414,,+4,,,,no
149,102,102,,no,no,Kyrian Jacquet,24,FRA,FRA,407,+4,-7,,,,no
150,147,147,,no,no,Guy Den Ouden,23,NED,NED,401,+4,-4,Advertisement,,,yes
151,31,31,,no,no,Lloyd Harris,28,RSA,RSA,399,,+4,,Lost in Lille R32,,no
152,110,110,,no,no,Giulio Zeppieri,24,ITA,ITA,397,,+4,,Lost in Lille R32,,no
153,132,132,,no,no,Nicolai Budkov Kjaer,19,NOR,NOR,395,-20,-75,,,,no
154,16,16,,no,no,Nicolás Jarry,30,CHI,CHI,391,-11,-50,,Lost in Qual. Rio de Janeiro R1,,no
155,110,110,,no,no,Martin Landaluce,20,ESP,ESP,391,+4,+1,Lille R16 399 508,,,yes
156,109,109,,no,no,Lukáš Klein,27,SVK,SVK,386,-6,-35,,,,no
157,125,125,,no,no,Alex Bolt,33,AUS,AUS,383,,+3,,,,no
158,145,145,,no,no,Mark Lajal,22,EST,EST,378,,+3,,,,no
159,156,156,,no,no,Arthur Géa,21,FRA,FRA,377,,+3,,,,no
